Pal. Abgrenzung;Nr. in Strukt;PN Text Belegform;Lemma;Titel Sigle;Seite;Sprachherkunft
1;9;Sesite;se~žīt ;;213v;slaw
1;10;Trebenna;terb-nj;;213v;slaw
1;11;Stram;starn~mīr;;213v;slaw
1;12;Semigir;sēmī~gar;;213v;slaw
1;13;Musclasete;mūsl~žīt;;213v;slaw
1;14;Ras;rā-š;;213v;slaw
1;15;Luca;lukas;;213v;
1;16;Turdamere;tvird~mēr;;213v;slaw
1;17;Zaba ;žābā ;;213v;slaw
1;18;Ferado;ferado;;213v;
1;19;Nemera[l];nemēr-l;;213v;slaw
1;20;Domamir;damā~mīr;;213v;slaw
1;21;Ciagrota;ciagro-t;;213v;slaw
1;22;E[t]umila;???-mīl;;213v;slaw
1;23;Premer;per-mēr;;213v;slaw
1;24;Drainoste;darg-n-st;;213v;slaw
1;25;Sidesci;side-š;;213v;slaw
1;26;Nesir;nežīru;;213v;slaw
1;1;Adoloc;athal~hauh;;215r;
1;2;Rimfrit;rim~frith;;215r;
1;3;Erminad;erman~hard;;215r;
1;4;Adoloc;athal~hauh;;215r;
1;5;Adoloc;athal~hauh;;215r;
1;1;Irminhart;erman~hard;;219r;
1;1;Iohanni;iōhannēs;cle;221v;
1;2;Feli;fēlīx;cle;221v;
1;1;Ratgoi;rātī~gaj;;236v;slaw
1;2;Reginsunda;ragin~swinth;uxo;236v;
1;3;Patricius;patricius;;236v;
1;4;Bribislau;prībū~slāv;;236v;slaw
1;5;Martinus;martīnus;;236v;
1;6;Todoro;theodōrus;;236v;
1;7;Kameraz;kameraz;;236v;
1;8;Georgius;geōrgius;;236v;
1;9;Pacemira;pāčē~mīr;;236v;slaw
1;1;Sebedrac;sebē~darg;;238r;slaw
1;1;Iohanni;iōhannēs;pbr;242v;
1;1;Baldoni;balth ;sda;245r;
1;1;Irmilihit;erman~hildi;;250v;
1;1;Degodeska;dēgad-š-k;;268v;slaw
1;2;Dallimere;dālē~mēr;;268v;slaw
1;3;Bellica;bēl-k;;268v;slaw
1;4;Minidrago;minē~darg;fil;268v;slaw
1;5;Iohannes;iōhannēs;;268v;
1;6;Cerelulla;čerš-lj;fil;268v;slaw
1;7;Thesconna;tēx-k-n;;268v;slaw
1;1;Nenadei;nenādēji;;270v;slaw
1;2;Glauoz;glāv-š;;270v;slaw
