ZweitgliedAlt;ZweitgliedNeu
[balth];balth
befrht;berht
berhth;berht
breht;berht
ffrith;frith
foraht;forht
frid;frith
frirh;frith
gari;gair
geni;gen
gīsil;gīsal
gunt;gunth
har;hari
hart;hard
hild;hildi
kinth;kind
lanth;land
lhelm;helm
lhildi;hildi
lwalh;walh
lwis;wis
munth;mund
new;newi
rā;rād
rāt;rād
rht;reht
rīh;rīk
sig;sigi
thrud;truth
treww;threw
w@ih;wīh
wni;wini
wnin;wini
